全国市部,ぜんこくしぶ
全国郡部,ぜんこくぐんぶ
北海道地方,ほっかいどうちほう
東北地方,とうほくちほう
関東地方,かんとうちほう
北陸地方,ほくりくちほう
東海地方,とうかいちほう
近畿地方,きんきちほう
中国地方,ちゅうごくちほう
四国地方,しこくちほう
九州地方,きゅうしゅうちほう
沖縄地方,おきなわちほう
札幌大都市圏,さっぽろだいとしけん
仙台大都市圏,せんだいだいとしけん
関東大都市圏,かんとうだいとしけん
新潟大都市圏,にいがただいとしけん
中京大都市圏,ちゅうきょうだいとしけん
近畿大都市圏,きんきだいとしけん
岡山大都市圏,おかやまだいとしけん
広島大都市圏,ひろしまだいとしけん
熊本大都市圏,くまもとだいとしけん
京浜大都市圏,けいひんだいとしけん
京浜葉大都市圏,けいひんようだいとしけん
京阪神大都市圏,けいはんしんだいとしけん
静岡大都市圏,しずおかだいとしけん
宇都宮都市圏,うつのみやとしけん
松山都市圏,まつやまとしけん
鹿児島都市圏,かごしまとしけん
熊本都市圏,くまもととしけん
新潟都市圏,にいがたとしけん
浜松都市圏,はままつとしけん
岡山都市圏,おかやまとしけん
仙台都市圏,せんだいとしけん
広島都市圏,ひろしまとしけん
北海道,ほっかいどう
北海道市部,ほっかいどうしぶ
北海道郡部,ほっかいどうぐんぶ
札幌市,さっぽろし
中央区,ちゅうおうく
北区,きたく
東区,ひがしく
白石区,しろいしく
豊平区,とよひらく
南区,みなみく
西区,にしく
厚別区,あつべつく
手稲区,ていねく
清田区,きよたく
函館市,はこだてし
小樽市,おたるし
旭川市,あさひかわし
室蘭市,むろらんし
釧路市,くしろし
帯広市,おびひろし
北見市,きたみし
夕張市,ゆうばりし
岩見沢市,いわみざわし
網走市,あばしりし
留萌市,るもいし
苫小牧市,とまこまいし
稚内市,わっかないし
美唄市,びばいし
芦別市,あしべつし
江別市,えべつし
赤平市,あかびらし
紋別市,もんべつし
士別市,しべつし
名寄市,なよろし
三笠市,みかさし
根室市,ねむろし
千歳市,ちとせし
滝川市,たきかわし
砂川市,すながわし
歌志内市,うたしないし
深川市,ふかがわし
富良野市,ふらのし
登別市,のぼりべつし
恵庭市,えにわし
亀田市,かめだし
伊達市,だてし
北広島市,きたひろしまし
石狩市,いしかりし
北斗市,ほくとし
石狩支庁,いしかりしちょう
石狩振興局,いしかりしんこうきょく
広島町,ひろしまちょう
石狩町,いしかりちょう
当別町,とうべつちょう
新篠津村,しんしのつむら
厚田村,あつたむら
浜益村,はまますむら
恵庭町,えにわちょう
渡島総合振興局,おしまそうごうしんこうきょく
渡島支庁,おしましちょう
松前町,まつまえちょう
福島町,ふくしまちょう
知内町,しりうちちょう
木古内町,きこないちょう
上磯町,かみいそちょう
大野町,おおのちょう
七飯町,ななえちょう
亀田町,かめだちょう
戸井町,といちょう
恵山町,えさんちょう
尻岸内町,しりきしないちょう
椴法華村,とどほっけむら
南茅部町,みなみかやべちょう
鹿部町,しかべちょう
鹿部村,しかべむら
砂原町,さわらちょう
砂原村,さわらむら
森町,もりまち
八雲町,やくもちょう
長万部町,おしゃまんべちょう
檜山支庁,ひやましちょう
檜山振興局,ひやましんこうきょく
江差町,えさしちょう
上ノ国町,かみのくにちょう
厚沢部町,あっさぶちょう
乙部町,おとべちょう
熊石町,くまいしちょう
大成町,たいせいちょう
奥尻町,おくしりちょう
瀬棚町,せたなちょう
北檜山町,きたひやまちょう
今金町,いまかねちょう
後志総合振興局,しりべしそうごうしんこうきょく
後志支庁,しりべししちょう
島牧村,しままきむら
寿都町,すっつちょう
黒松内町,くろまつないちょう
蘭越町,らんこしちょう
ニセコ町,にせこちょう
真狩村,まっかりむら
留寿都村,るすつむら
喜茂別町,きもべつちょう
京極町,きょうごくちょう
倶知安町,くっちゃんちょう
共和村,きょうわむら
共和町,きょうわちょう
