surface,kana,source_id,reason,notes
"北海道地方","ほっかいどうちほう","estat-region-codes","kana_length_out_of_range",""
"中国地方","ちゅうごくちほう","estat-region-codes","kana_length_out_of_range",""
"九州地方","きゅうしゅうちほう","estat-region-codes","kana_length_out_of_range",""
"札幌大都市圏","さっぽろだいとしけん","estat-region-codes","kana_length_out_of_range",""
"仙台大都市圏","せんだいだいとしけん","estat-region-codes","kana_length_out_of_range",""
"関東大都市圏","かんとうだいとしけん","estat-region-codes","kana_length_out_of_range",""
"新潟大都市圏","にいがただいとしけん","estat-region-codes","kana_length_out_of_range",""
"中京大都市圏","ちゅうきょうだいとしけん","estat-region-codes","kana_length_out_of_range",""
"近畿大都市圏","きんきだいとしけん","estat-region-codes","kana_length_out_of_range",""
"岡山大都市圏","おかやまだいとしけん","estat-region-codes","kana_length_out_of_range",""
"広島大都市圏","ひろしまだいとしけん","estat-region-codes","kana_length_out_of_range",""
"熊本大都市圏","くまもとだいとしけん","estat-region-codes","kana_length_out_of_range",""
"京浜大都市圏","けいひんだいとしけん","estat-region-codes","kana_length_out_of_range",""
"京浜葉大都市圏","けいひんようだいとしけん","estat-region-codes","kana_length_out_of_range",""
"京阪神大都市圏","けいはんしんだいとしけん","estat-region-codes","kana_length_out_of_range",""
"静岡大都市圏","しずおかだいとしけん","estat-region-codes","kana_length_out_of_range",""
"宇都宮都市圏","うつのみやとしけん","estat-region-codes","kana_length_out_of_range",""
"松山都市圏","まつやまとしけん","estat-region-codes","kana_length_out_of_range",""
"鹿児島都市圏","かごしまとしけん","estat-region-codes","kana_length_out_of_range",""
"熊本都市圏","くまもととしけん","estat-region-codes","kana_length_out_of_range",""
"新潟都市圏","にいがたとしけん","estat-region-codes","kana_length_out_of_range",""
"浜松都市圏","はままつとしけん","estat-region-codes","kana_length_out_of_range",""
"岡山都市圏","おかやまとしけん","estat-region-codes","kana_length_out_of_range",""
"仙台都市圏","せんだいとしけん","estat-region-codes","kana_length_out_of_range",""
"広島都市圏","ひろしまとしけん","estat-region-codes","kana_length_out_of_range",""
"北海道市部","ほっかいどうしぶ","estat-region-codes","kana_length_out_of_range",""
"北海道郡部","ほっかいどうぐんぶ","estat-region-codes","kana_length_out_of_range",""
"石狩支庁","いしかりしちょう","estat-region-codes","kana_length_out_of_range",""
"石狩振興局","いしかりしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"渡島総合振興局","おしまそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"尻岸内町","しりきしないちょう","estat-region-codes","kana_length_out_of_range",""
"南茅部町","みなみかやべちょう","estat-region-codes","kana_length_out_of_range",""
"長万部町","おしゃまんべちょう","estat-region-codes","kana_length_out_of_range",""
"檜山振興局","ひやましんこうきょく","estat-region-codes","kana_length_out_of_range",""
"上ノ国町","かみのくにちょう","estat-region-codes","kana_length_out_of_range",""
"北檜山町","きたひやまちょう","estat-region-codes","kana_length_out_of_range",""
"後志総合振興局","しりべしそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"後志支庁","しりべししちょう","estat-region-codes","kana_length_out_of_range",""
"黒松内町","くろまつないちょう","estat-region-codes","kana_length_out_of_range",""
"空知総合振興局","そらちそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"上砂川町","かみすながわちょう","estat-region-codes","kana_length_out_of_range",""
"新十津川町","しんとつかわちょう","estat-region-codes","kana_length_out_of_range",""
"秩父別町","ちっぷべつちょう","estat-region-codes","kana_length_out_of_range",""
"幌加内町","ほろかないちょう","estat-region-codes","kana_length_out_of_range",""
"上川総合振興局","かみかわそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"上川支庁","かみかわしちょう","estat-region-codes","kana_length_out_of_range",""
"東鷹栖町","ひがしたかすちょう","estat-region-codes","kana_length_out_of_range",""
"東神楽町","ひがしかぐらちょう","estat-region-codes","kana_length_out_of_range",""
"東川町","ひがしかわちょう","estat-region-codes","kana_length_out_of_range",""
"上富良野町","かみふらのちょう","estat-region-codes","kana_length_out_of_range",""
"中富良野町","なかふらのちょう","estat-region-codes","kana_length_out_of_range",""
"南富良野町","みなみふらのちょう","estat-region-codes","kana_length_out_of_range",""
"音威子府村","おといねっぷむら","estat-region-codes","kana_length_out_of_range",""
"留萌振興局","るもいしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"初山別村","しょさんべつむら","estat-region-codes","kana_length_out_of_range",""
"宗谷総合振興局","そうやそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"浜頓別町","はまとんべつちょう","estat-region-codes","kana_length_out_of_range",""
"中頓別町","なかとんべつちょう","estat-region-codes","kana_length_out_of_range",""
"歌登町","うたのぼりちょう","estat-region-codes","kana_length_out_of_range",""
"東利尻町","ひがしりしりちょう","estat-region-codes","kana_length_out_of_range",""
"利尻富士町","りしりふじちょう","estat-region-codes","kana_length_out_of_range",""
"網走支庁","あばしりしちょう","estat-region-codes","kana_length_out_of_range",""
"オホーツク総合振興局","おほーつくそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"東藻琴村","ひがしもことむら","estat-region-codes","kana_length_out_of_range",""
"女満別町","めまんべつちょう","estat-region-codes","kana_length_out_of_range",""
"訓子府町","くんねっぷちょう","estat-region-codes","kana_length_out_of_range",""
"生田原町","いくたはらちょう","estat-region-codes","kana_length_out_of_range",""
"丸瀬布町","まるせっぷちょう","estat-region-codes","kana_length_out_of_range",""
"上湧別町","かみゆうべつちょう","estat-region-codes","kana_length_out_of_range",""
"滝上町","たきのうえちょう","estat-region-codes","kana_length_out_of_range",""
"西興部村","にしおこっぺむら","estat-region-codes","kana_length_out_of_range",""
"胆振総合振興局","いぶりそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"登別町","のぼりべつちょう","estat-region-codes","kana_length_out_of_range",""
"日高振興局","ひだかしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"新冠町","にいかっぷちょう","estat-region-codes","kana_length_out_of_range",""
"幌泉町","ほろいずみちょう","estat-region-codes","kana_length_out_of_range",""
"新ひだか町","しんひだかちょう","estat-region-codes","kana_length_out_of_range",""
"十勝総合振興局","とかちそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"上士幌町","かみしほろちょう","estat-region-codes","kana_length_out_of_range",""
"中札内村","なかさつないむら","estat-region-codes","kana_length_out_of_range",""
"釧路総合振興局","くしろそうごうしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"根室振興局","ねむろしんこうきょく","estat-region-codes","kana_length_out_of_range",""
"中標津町","なかしべつちょう","estat-region-codes","kana_length_out_of_range",""
"青森県市部","あおもりけんしぶ","estat-region-codes","kana_length_out_of_range",""
"青森県郡部","あおもりけんぐんぶ","estat-region-codes","kana_length_out_of_range",""
"東津軽郡","ひがしつがるぐん","estat-region-codes","kana_length_out_of_range",""
"南津軽郡","みなみつがるぐん","estat-region-codes","kana_length_out_of_range",""
"碇ケ関村","いかりがせきむら","estat-region-codes","kana_length_out_of_range",""
"天間林村","てんまばやしむら","estat-region-codes","kana_length_out_of_range",""
"東通村","ひがしどおりむら","estat-region-codes","kana_length_out_of_range",""
"岩手県郡部","いわてけんぐんぶ","estat-region-codes","kana_length_out_of_range",""
"陸前高田市","りくぜんたかたし","estat-region-codes","kana_length_out_of_range",""
"雫石町","しずくいしちょう","estat-region-codes","kana_length_out_of_range",""
"石鳥谷町","いしどりやちょう","estat-region-codes","kana_length_out_of_range",""
"金ケ崎町","かねがさきちょう","estat-region-codes","kana_length_out_of_range",""
"平泉町","ひらいずみちょう","estat-region-codes","kana_length_out_of_range",""
"東磐井郡","ひがしいわいぐん","estat-region-codes","kana_length_out_of_range",""
"東山町","ひがしやまちょう","estat-region-codes","kana_length_out_of_range",""
"岩泉町","いわいずみちょう","estat-region-codes","kana_length_out_of_range",""
"浄法寺町","じょうぼうじまち","estat-region-codes","kana_length_out_of_range",""
"宮城県郡部","みやぎけんぐんぶ","estat-region-codes","kana_length_out_of_range",""
"東松島市","ひがしまつしまし","estat-region-codes","kana_length_out_of_range",""
"七ヶ宿町","しちかしゅくまち","estat-region-codes","kana_length_out_of_range",""
"三本木町","さんぼんぎちょう","estat-region-codes","kana_length_out_of_range",""
"若柳町","わかやなぎちょう","estat-region-codes","kana_length_out_of_range",""
"一迫町","いちはさまちょう","estat-region-codes","kana_length_out_of_range",""
"鶯沢町","うぐいすざわちょう","estat-region-codes","kana_length_out_of_range",""
"南三陸町","みなみさんりくちょう","estat-region-codes","kana_length_out_of_range",""
"秋田県郡部","あきたけんぐんぶ","estat-region-codes","kana_length_out_of_range",""
"由利本荘市","ゆりほんじょうし","estat-region-codes","kana_length_out_of_range",""
"八幡平村","はちまんたいむら","estat-region-codes","kana_length_out_of_range",""
"南秋田郡","みなみあきたぐん","estat-region-codes","kana_length_out_of_range",""
"八郎潟町","はちろうがたまち","estat-region-codes","kana_length_out_of_range",""
"西仙北町","にしせんぼくまち","estat-region-codes","kana_length_out_of_range",""
"十文字町","じゅうもんじまち","estat-region-codes","kana_length_out_of_range",""
"東成瀬村","ひがしなるせむら","estat-region-codes","kana_length_out_of_range",""
"山形県市部","やまがたけんしぶ","estat-region-codes","kana_length_out_of_range",""
"山形県郡部","やまがたけんぐんぶ","estat-region-codes","kana_length_out_of_range",""
"東村山郡","ひがしむらやまぐん","estat-region-codes","kana_length_out_of_range",""
"西村山郡","にしむらやまぐん","estat-region-codes","kana_length_out_of_range",""
"北村山郡","きたむらやまぐん","estat-region-codes","kana_length_out_of_range",""
"東置賜郡","ひがしおきたまぐん","estat-region-codes","kana_length_out_of_range",""
"西置賜郡","にしおきたまぐん","estat-region-codes","kana_length_out_of_range",""
"東田川郡","ひがしたがわぐん","estat-region-codes","kana_length_out_of_range",""
"福島県市部","ふくしまけんしぶ","estat-region-codes","kana_length_out_of_range",""
"福島県郡部","ふくしまけんぐんぶ","estat-region-codes","kana_length_out_of_range",""
"会津若松市","あいづわかまつし","estat-region-codes","kana_length_out_of_range",""
"南会津郡","みなみあいづぐん","estat-region-codes","kana_length_out_of_range",""
"南会津町","みなみあいづまち","estat-region-codes","kana_length_out_of_range",""
"熱塩加納村","あつしおかのうむら","estat-region-codes","kana_length_out_of_range",""
"北塩原村","きたしおばらむら","estat-region-codes","kana_length_out_of_range",""
"会津坂下町","あいづばんげまち","estat-region-codes","kana_length_out_of_range",""
"会津高田町","あいづたかだまち","estat-region-codes","kana_length_out_of_range",""
"会津本郷町","あいづほんごうまち","estat-region-codes","kana_length_out_of_range",""
"会津美里町","あいづみさとまち","estat-region-codes","kana_length_out_of_range",""
"西白河郡","にししらかわぐん","estat-region-codes","kana_length_out_of_range",""
"東白川郡","ひがししらかわぐん","estat-region-codes","kana_length_out_of_range",""
"茨城県市部","いばらきけんしぶ","estat-region-codes","kana_length_out_of_range",""
