アーチェリー,あーちぇりー
愛,あい
愛育,あいいく
藍色,あいいろ
愛飲,あいいん
合い鍵,あいかぎ
相方,あいかた
哀感,あいかん
哀願,あいがん
愛犬,あいけん
愛顧,あいこ
愛護,あいご
愛国,あいこく
愛妻,あいさい
挨拶,あいさつ
愛情,あいじょう
アイス,あいす
アイスクリーム,あいすくりーむ
アイスホッケー,あいすほっけー
アイスランド,あいすらんど
愛想,あいそ
間,あいだ
間柄,あいだがら
愛知,あいち
あいつ,あいつ
相手,あいて
アイデア,あいであ
相手方,あいてかた
愛読,あいどく
愛読書,あいどくしょ
アイドル,あいどる
間の手,あいのて
相乗り,あいのり
合間,あいま
哀楽,あいらく
愛らしい,あいらしい
アイルランド,あいるらんど
アイロン,あいろん
アイロン台,あいろんだい
亜鉛,あえん
青嵐,あおあらし
青い,あおい
青色,あおいろ
青黴,あおかび
青木,あおき
アオザイ,あおざい
青魚,あおざかな
青紫蘇,あおじそ
青信号,あおしんごう
青空,あおぞら
青田,あおた
青菜,あおな
青二才,あおにさい
青海苔,あおのり
青葉,あおば
仰向け,あおむけ
青虫,あおむし
青物,あおもの
青森,あおもり
垢,あか
赤い,あかい
赤色,あかいろ
アカウント,あかうんと
赤貝,あかがい
赤毛,あかげ
赤子,あかご
赤米,あかごめ
赤錆び,あかさび
証,あかし
赤字,あかじ
アカシア,あかしあ
赤潮,あかしお
赤十字,あかじゅうじ
赤信号,あかしんごう
赤ちゃん,あかちゃん
赤ちゃん服,あかちゃんふく
赤提灯,あかちょうちん
赤土,あかつち
アカデミー,あかでみー
赤トンボ,あかとんぼ
茜,あかね
茜色,あかねいろ
赤旗,あかはた
赤裸,あかはだか
赤松,あかまつ
赤身,あかみ
赤虫,あかむし
赤ら顔,あからがお
明かり,あかり
上り口,あがりぐち
赤ワイン,あかわいん
亜寒帯,あかんたい
秋,あき
飽き飽き,あきあき
秋風,あきかぜ
空き缶,あきかん
秋草,あきくさ
秋口,あきぐち
秋雨,あきさめ
空き巣,あきす
秋田,あきた
空き地,あきち
空き箱,あきばこ
秋晴れ,あきばれ
空き瓶,あきびん
空き家,あきや
諦め,あきらめ
呆れ顔,あきれがお
悪,あく
悪意,あくい
悪声,あくせい
悪戦,あくせん
悪態,あくたい
悪玉,あくだま
悪徳,あくとく
悪人,あくにん
あくび,あくび
悪文,あくぶん
悪弊,あくへい
悪癖,あくへき
悪魔,あくま
悪夢,あくむ
悪役,あくやく
アクラ,あくら
あぐら,あぐら
アクリル,あくりる
揚げ足,あげあし
明け方,あけがた
上げ下げ,あげさげ
上げ潮,あげしお
上げ底,あげぞこ
アケビ,あけび
曙,あけぼの
揚巻,あげまき
揚げ物,あげもの
あげる,あげる
顎,あご
アコーディオン,あこーでぃおん
憧れ,あこがれ
朝,あさ
字,あざ
朝市,あさいち
朝起き,あさおき
朝顔,あさがお
朝駆け,あさがけ
朝方,あさがた
朝霧,あさぎり
浅草,あさくさ
朝げ,あさげ
朝ごはん,あさごはん
朝潮,あさしお
浅瀬,あさせ
浅葱,あさつき
朝露,あさつゆ
朝凪ぎ,あさなぎ
朝晩,あさばん
朝日,あさひ
アザミ,あざみ
浅緑,あさみどり
朝飯,あさめし
朝靄,あさもや
朝焼け,あさやけ
アザラシ,あざらし
あさり,あさり
アザレア,あざれあ
脚,あし
あじ,あじ
アジア,あじあ
足跡,あしあと
アジェンダ,あじぇんだ
足音,あしおと
海驢,あしか
足掛け,あしかけ
足枷,あしかせ
足型,あしがた
足固め,あしがため
足首,あしくび
足腰,あしこし
紫陽花,あじさい
足先,あしさき
アシスタント,あしすたんと
明日,あした
足代,あしだい
明日葉,あしたば
味玉,あじたま
アジテーション,あじてーしょん
アジト,あじと
足止め,あしどめ
足取り,あしどり
足長,あしなが
足並み,あしなみ
足場,あしば
足踏み,あしぶみ
アジフライ,あじふらい
足下,あしもと
アジャスター,あじゃすたー
アジュガ,あじゅが
アジリティ,あじりてぃ
足技,あしわざ
明日,あす
小豆,あずき
アスパラガス,あすぱらがす
アスファルト,あすふぁると
アスベスト,あすべすと
アスレチック,あすれちっく
汗,あせ
畦,あぜ
校倉,あぜくら
アセトン,あせとん
畦道,あぜみち
汗疹,あせも
アセロラ,あせろら
遊び場,あそびば
仇,あだ
価,あたい
仇討ち,あだうち
徒名,あだな
アダプター,あだぷたー
頭,あたま
頭打ち,あたまうち
頭金,あたまきん
頭越し,あたまごし
新しい年,あたらしいとし
辺り,あたり
あたりめ,あたりめ
熱々,あつあつ
圧延,あつえん
厚紙,あつがみ
厚着,あつぎ
圧縮,あっしゅく
アップデート,あっぷでーと
アップロード,あっぷろーど
厚身,あつみ
圧力,あつりょく
圧力鍋,あつりょくなべ
軋轢,あつれき
アディスアベバ,あでぃすあべば
宛て先,あてさき
宛て名,あてな
アテネ,あてね
後,あと
後足,あとあし
後々,あとあと
後書き,あとがき
跡形,あとかた
後釜,あとがま
あどけない,あどけない
後先,あとさき
跡地,あとち
跡継ぎ,あとつぎ
跡取り,あととり
後払い,あとばらい
後回し,あとまわし
後戻り,あともどり
アドレス帳,あどれすちょう
穴,あな
穴埋め,あなうめ
アナウンサー,あなうんさー
穴熊,あなぐま
穴蔵,あなぐら
アナグラム,あなぐらむ
あなご,あなご
あなた,あなた
穴場,あなば
アナリスト,あなりすと
アナログ,あなろぐ
兄,あに
兄貴,あにき
アニス,あにす
アニメ,あにめ
アニメーション,あにめーしょん
兄嫁,あによめ
姉,あね
アネモネ,あねもね
アノマリー,あのまりー
あの世,あのよ
アパート,あぱーと
肋骨,あばらぼね
あばら家,あばらや
アパレル,あぱれる
アヒージョ,あひーじょ
家鴨,あひる
虻,あぶ
アフガニスタン,あふがにすたん
あぶく,あぶく
アブジャ,あぶじゃ
アブダビ,あぶだび
油,あぶら
油揚げ,あぶらあげ
脂汗,あぶらあせ
油売り,あぶらうり
油絵,あぶらえ
油蝉,あぶらぜみ
油菜,あぶらな
脂身,あぶらみ
油虫,あぶらむし
アプリ,あぷり
アフリカ,あふりか
アフロ,あふろ
阿部,あべ
あほ,あほ
アボカド,あぼかど
尼,あま
雨脚,あまあし
甘えび,あまえび
甘えん坊,あまえんぼう
雨音,あまおと
雨蛙,あまがえる
雨傘,あまがさ
雨具,あまぐ
甘口,あまくち
雨靴,あまぐつ
雨雲,あまぐも
雨乞い,あまごい
甘酒,あまざけ
雨晒し,あまざらし
アマゾン,あまぞん
あまた,あまた
雨垂れ,あまだれ
尼寺,あまでら
雨戸,あまど
天の川,あまのがわ
雨漏り,あまもり
雨宿り,あまやどり
余り,あまり
アマリリス,あまりりす
網,あみ
阿弥陀,あみだ
網棚,あみだな
網戸,あみど
網の目,あみのめ
網目,あみめ
網元,あみもと
編み物,あみもの
アムステルダム,あむすてるだむ
雨,あめ
飴色,あめいろ
アメーバ,あめーば
アメジスト,あめじすと
