アーケード,あーけーど
愛,あい
あいきょう,あいきょう
相子,あいこ
合言葉,あいことば
挨拶,あいさつ
愛情,あいじょう
合図,あいず
アイスクリーム,あいすくりーむ
愛想,あいそ
愛想,あいそう
間,あいだ
相手,あいて
アイデア,あいであ
相取,あいどり
合間,あいま
アイロン,あいろん
アウト,あうと
亜鉛,あえん
青,あお
青鬼,あおおに
青木,あおき
青信号,あおしんごう
青空,あおぞら
仰向き,あおむき
仰向け,あおむけ
青虫,あおむし
赤,あか
赤鬼,あかおに
赤組,あかぐみ
赤子,あかご
赤字,あかじ
赤信号,あかしんごう
赤ちゃん,あかちゃん
明かり,あかり
上がり,あがり
明るさ,あかるさ
赤ん坊,あかんぼう
秋,あき
秋風,あきかぜ
空き缶,あきかん
空き箱,あきばこ
秋晴れ,あきばれ
諦め,あきらめ
悪,あく
握手,あくしゅ
アクセサリー,あくせさりー
アクセント,あくせんと
悪魔,あくま
明け方,あけがた
あげく,あげく
揚げ豆腐,あげどうふ
揚羽,あげは
あご,あご
アコーデオン,あこーでおん
あこがれ,あこがれ
朝,あさ
朝顔,あさがお
朝方,あさがた
朝御飯,あさごはん
朝寝坊,あさねぼう
朝飯,あさはん
朝晩,あさばん
朝日,あさひ
朝飯,あさめし
朝夕,あさゆう
浅蜊,あさり
足,あし
味,あじ
アジア,あじあ
足跡,あしあと
足音,あしおと
海驢,あしか
足首,あしくび
味付け,あじつけ
足並み,あしなみ
足踏み,あしぶみ
あしもと,あしもと
預け,あずけ
汗,あせ
あぜ,あぜ
畦道,あぜみち
遊び,あそび
あたい,あたい
仇討ち,あだうち
あだな,あだな
頭,あたま
辺り,あたり
あちこち,あちこち
圧,あつ
悪化,あっか
扱い,あつかい
厚着,あつぎ
厚さ,あつさ
圧縮,あっしゅく
圧迫,あっぱく
集まり,あつまり
圧力,あつりょく
あて,あて
あてな,あてな
アテネ,あてね
跡,あと
あとかたづけ,あとかたづけ
あとしまつ,あとしまつ
後退り,あとずさり
あとまわし,あとまわし
あな,あな
アナウンサー,あなうんさー
兄,あに
姉,あね
アパート,あぱーと
暴れ,あばれ
虻,あぶ
あぶら,あぶら
油絵,あぶらえ
油菜,あぶらな
油椰子,あぶらやし
アフリカ,あふりか
炙り出し,あぶりだし
あべこべ,あべこべ
亜麻,あま
甘え,あまえ
雨蛙,あまがえる
甘柿,あまがき
雨傘,あまがさ
雨具,あまぐ
雨雲,あまぐも
雨垂れ,あまだれ
アマチュア,あまちゅあ
雨戸,あまど
雨宿り,あまやどり
余り,あまり
網,あみ
網戸,あみど
網目,あみめ
編み物,あみもの
雨,あめ
雨降り,あめふり
アメリカ,あめりか
アメリカ人,あめりかじん
綾取り,あやとり
過ち,あやまち
誤り,あやまり
歩み,あゆみ
洗い,あらい
粗方,あらかた
嵐,あらし
あらすじ,あらすじ
争い,あらそい
改め,あらため
アラビア,あらびあ
霰,あられ
あらわれ,あらわれ
蟻,あり
有様,ありさま
亜硫酸,ありゅうさん
歩き,あるき
アルゼンチン,あるぜんちん
アルバム,あるばむ
アルファベット,あるふぁべっと
アルプス,あるぷす
アルミ箔,あるみはく
荒れ,あれ
あれこれ,あれこれ
泡,あわ
慌て,あわて
あわれ,あわれ
あわれみ,あわれみ
餡,あん
あんき,あんき
餡こ,あんこ
鮟鱇,あんこう
暗殺,あんさつ
暗示,あんじ
あんしん,あんしん
安静,あんせい
安全,あんぜん
安全ピン,あんぜんぴん
安全ベルト,あんぜんべると
安定,あんてい
アンテナ,あんてな
アンデルセン,あんでるせん
案内,あんない
案内図,あんないず
餡パン,あんぱん
按摩,あんま
暗幕,あんまく
言い方,いいかた
言い付け,いいつけ
言い伝え,いいつたえ
Eメール,いーめーる
いいわけ,いいわけ
委員,いいん
委員会,いいんかい
家,いえ
家出,いえで
以下,いか
以外,いがい
医学,いがく
筏,いかだ
鋳型,いがた
いかり,いかり
息,いき
意義,いぎ
勢い,いきおい
行き帰り,いきかえり
生き方,いきかた
息切れ,いきぎれ
行き先,いきさき
行き違い,いきちがい
息継ぎ,いきつぎ
行き止まり,いきどまり
生き物,いきもの
イギリス人,いぎりすじん
戦,いくさ
幾つ,いくつ
幾度,いくど
幾日,いくにち
幾分,いくぶん
幾ら,いくら
幾らか,いくらか
池,いけ
いけがき,いけがき
池田,いけだ
いけばな,いけばな
意見,いけん
以後,いご
以降,いこう
石,いし
意地,いじ
石臼,いしうす
石川,いしかわ
意識,いしき
石蹴り,いしけり
石ころ,いしころ
石段,いしだん
苛め,いじめ
医者,いしゃ
異種,いしゅ
移住,いじゅう
衣食住,いしょくじゅう
意地悪,いじわる
椅子,いす
泉,いずみ
イスラム教,いすらむきょう
威勢,いせい
いせき,いせき
以前,いぜん
磯,いそ
急ぎ,いそぎ
イソップ童話,いそっぷどうわ
板,いた
偉大,いだい
いたずらっ子,いたずらっこ
頂,いただき
鼬,いたち
板の間,いたのま
いたみ,いたみ
労り,いたわり
一,いち
一員,いちいん
一月,いちがつ
いちご,いちご
苺ジャム,いちごじゃむ
苺摘み,いちごつみ
一時,いちじ
一日,いちじつ
一代,いちだい
一度,いちど
一同,いちどう
一二三,いちにさん
一日,いちにち
一日中,いちにちじゅう
一年,いちねん
一年間,いちねんかん
一年生,いちねんせい
市場,いちば
一番,いちばん
一部,いちぶ
一部分,いちぶぶん
一面,いちめん
一目散,いちもくさん
一流,いちりゅう
一輪車,いちりんしゃ
一日,いちんち
一家,いっか
五日,いつか
一気,いっき
一国,いっこく
一切,いっさい
一種,いっしゅ
一周,いっしゅう
一瞬,いっしゅん
一緒,いっしょ
一生,いっしょう
一心,いっしん
一寸法師,いっすんぼうし
一斉,いっせい
一体,いったい
一端,いったん
一致,いっち
一丁,いっちょ
五つ,いつつ
一定,いってい
一定量,いっていりょう
一等,いっとう
一等賞,いっとうしょう
一杯,いっぱい
一般,いっぱん
一遍,いっぺん
一方,いっぽう
一本橋,いっぽんばし
糸,いと
井戸,いど
伊藤,いとう
移動,いどう
糸車,いとぐるま
暇,いとま
以内,いない
稲妻,いなずま
稲光,いなびかり
いぬ,いぬ
犬小屋,いぬごや
稲,いね
稲刈り,いねかり
居眠り,いねむり
井上,いのうえ
猪,いのしし
命,いのち
いのり,いのり
違反,いはん
いびき,いびき
衣服,いふく
今,いま
今頃,いまごろ
今更,いまさら
意味,いみ
移民,いみん
イメージ,いめーじ
いも,いも
妹,いもうと
芋掘り,いもほり
芋虫,いもむし
イヤホーン,いやほーん
イヤリング,いやりんぐ
いよく,いよく
以来,いらい
イラク,いらく
イラン,いらん
入り,いり
入り口,いりぐち
衣料,いりょう
入り用,いりよう
衣類,いるい
入れ,いれ
入れ違い,いれちがい
入れ歯,いれば
入れ物,いれもの
色,いろ
色色,いろいろ
色鉛筆,いろえんぴつ
色紙,いろがみ
囲炉裏,いろり
いわ,いわ
祝い,いわい
いわし,いわし
鰯雲,いわしぐも
謂れ,いわれ
印,いん
印鑑,いんかん
いんこ,いんこ
咽喉,いんこう
印刷,いんさつ
印象,いんしょう
インスタント,いんすたんと
隕石,いんせき
インターネット,いんたーねっと
インターン,いんたーん
いんちき,いんちき
インド,いんど
インドネシア,いんどねしあ
インフレ,いんふれ
引用,いんよう
ウイスキー,ういすきー
ウール,うーる
上,うえ
ウェイトレス,うぇいとれす
植木,うえき
植木鉢,うえきばち
上下,うえした
魚,うお
嗽,うがい
伺い,うかがい
浮き,うき
浮き袋,うきぶくろ
鴬,うぐいす
ウクレレ,うくれれ
うけ,うけ
受付,うけつけ
うけとり,うけとり
受け身,うけみ
受け持ち,うけもち
動き,うごき
動き方,うごきかた
兎,うさぎ
牛,うし
後ろ,うしろ
後ろ歯,うしろば
後ろ向き,うしろむき
臼,うす
渦,うず
薄着,うすぎ
薄曇り,うすぐもり
渦巻き,うずまき
嘘,うそ
嘘つき,うそつき
嘘泣き,うそなき
歌,うた
謡,うたい
疑い,うたがい
歌声,うたごえ
打ち,うち
打ち合わせ,うちあわせ
内側,うちがわ
打ち消し,うちけし
内田,うちだ
打出の小槌,うちでのこづち
宇宙,うちゅう
内輪,うちわ
内訳,うちわけ
写し,うつし
訴え,うったえ
うつぶせ,うつぶせ
俯き,うつむき
写り,うつり
うつりかわり,うつりかわり
器,うつわ
腕,うで
腕組み,うでぐみ
腕前,うでまえ
腕捲り,うでまくり
雨天,うてん
饂飩,うどん
鰻,うなぎ
